application_number,advice_date,ego_examiner_id,alter_examiner_id
09402488,2008-11-17,84356,66266
09402488,2008-11-17,84356,63519
09402488,2008-11-17,84356,98531
09445135,2008-08-21,92953,71313
09445135,2008-08-21,92953,93865
09445135,2008-08-21,92953,91818
09479304,2008-12-15,61767,69277
09479304,2008-12-15,61767,92446
09479304,2008-12-15,61767,66805
09479304,2008-12-15,61767,70919
09484331,2008-02-07,72253,61519
09484331,2008-02-07,72253,72253
09484331,2008-02-07,72253,67515
09489652,2008-01-10,67078,75772
09489652,2008-01-10,67078,97328
09491624,2008-05-29,91688,71059
09491624,2008-05-29,91688,67669
09495207,2008-04-25,61797,60897
09495207,2008-04-25,61797,98690
09495207,2008-04-25,61797,96691
09495207,2008-04-25,61797,80174
09495207,2008-04-25,61797,78036
09498396,2008-01-25,94270,99319
09498396,2008-07-25,94270,99319
09498396,2008-01-25,94270,81337
09498396,2008-07-25,94270,81337
09498396,2008-01-25,94270,66927
09498396,2008-07-25,94270,66927
09500698,2008-08-07,94270,76378
09501716,2008-12-23,73223,92537
09504236,2008-02-25,94270,97655
09504236,2008-10-30,94270,97655
09504236,2008-02-25,94270,99319
09504236,2008-02-25,94270,81337
09504236,2008-02-25,94270,66927
09504236,2008-10-30,94270,71536
09505951,2008-01-03,60128,69459
09508869,2008-01-02,66378,74747
09513086,2008-05-06,82597,72253
09513086,2008-05-06,82597,62312
09537118,2008-01-03,96070,92569
09544253,2008-03-21,NA,94704
09544253,2008-03-21,NA,92028
09547288,2008-02-22,75772,62774
09547288,2008-09-22,75772,62774
09547288,2008-02-22,75772,99395
09547288,2008-09-22,75772,99395
09547288,2008-02-22,75772,77746
09547288,2008-09-22,75772,77746
09552131,2008-01-10,NA,66324
09552131,2008-01-10,NA,83845
09552131,2008-01-10,NA,68231
09552131,2008-01-10,NA,94704
09553337,2008-03-21,67713,77746
09553337,2008-03-21,67713,73567
09553337,2008-03-21,67713,92680
09556062,2008-04-23,67713,73567
09566747,2008-10-16,61043,92569
09566800,2008-09-25,94646,76536
09566800,2008-09-25,90730,76536
09566800,2008-09-25,94646,NA
09566800,2008-09-25,90730,NA
09566800,2008-09-25,94646,63197
09566800,2008-09-25,90730,63197
09568215,2008-07-24,66805,92028
09577489,2008-10-28,82105,70571
09577489,2008-10-28,82105,76964
09582808,2008-04-01,97910,59738
09582808,2008-04-01,97910,99004
09582808,2008-04-01,97910,67669
09586410,2008-03-19,63657,87028
09586550,2008-04-17,67972,74028
09588828,2008-07-14,59397,77058
09588828,2008-07-14,59397,73191
09589200,2008-06-16,63657,92028
09589200,2008-06-16,63657,87028
09590417,2008-05-29,67355,94120
09591621,2008-04-03,96663,60986
09591621,2008-04-03,96663,NA
09591621,2008-04-03,96663,74063
09591621,2008-04-03,96663,64538
09591708,2008-10-08,74473,NA
09596629,2008-07-02,92763,62242
09597196,2008-03-18,94270,76378
09597196,2008-10-15,94270,76378
09597315,2008-09-08,92674,93043
09599542,2008-06-26,87666,61185
09601150,2008-01-18,NA,66378
09601150,2008-01-18,NA,66565
09601150,2008-01-18,NA,97329
09602034,2008-04-24,85308,64243
09602576,2008-01-02,64572,72086
09602576,2008-01-02,64572,NA
09603601,2008-12-22,77761,NA
09603601,2008-12-22,77761,66568
09603601,2008-12-22,77761,74211
09603601,2008-12-22,77761,75373
09603601,2008-12-22,77761,78350
09604199,2008-04-10,85308,60407
09606786,2008-02-26,75973,62242
09609690,2008-04-29,73119,70835
09609690,2008-04-29,73119,69643
09610798,2008-03-17,92563,80643
09610798,2008-03-17,92563,63106
09610798,2008-03-17,92563,69502
09610798,2008-03-17,92563,72381
09610798,2008-09-30,92563,72381
09613123,2008-12-08,88496,85308
09617036,2008-05-01,96021,65231
09617036,2008-01-28,68018,62384
09617036,2008-01-28,68018,96021
09617036,2008-01-28,68018,70222
09617036,2008-01-28,68018,65231
09618956,2008-05-01,67570,62690
09620053,2008-03-05,69438,60897
09623780,2008-10-29,97974,94753
09625398,2008-01-10,NA,63598
09625398,2008-01-10,NA,NA
09625398,2008-01-10,NA,92446
09625398,2008-01-10,NA,66536
09625398,2008-01-10,NA,70691
09626347,2008-08-28,NA,97943
09627139,2008-12-23,65660,96653
09630798,2008-10-07,64572,85084
09630896,2008-08-21,98330,95726
09633801,2008-12-23,97728,69002
09633801,2008-12-23,97728,68227
09633801,2008-12-23,97728,95442
09633801,2008-12-23,97728,96224
09633801,2008-12-23,97728,89457
09640103,2008-05-28,68584,74114
09649215,2008-06-06,97590,92569
09649215,2008-06-06,97590,66905
09652360,2008-03-19,72099,85990
09652502,2008-07-24,73119,90049
09653039,2008-10-20,66685,67442
09657956,2008-01-07,66885,63843
09657956,2008-01-07,66885,74114
09658298,2008-04-09,75919,79585
09659258,2008-05-22,91818,80643
09659258,2008-05-22,91818,63106
09659258,2008-05-22,91818,69502
09659643,2008-08-15,91989,72814
09659643,2008-08-15,91989,71059
09660005,2008-11-10,68593,73528
09660005,2008-11-10,68593,60333
09660005,2008-07-25,68593,90147
09660005,2008-11-10,68593,90147
09660110,2008-07-25,75973,78350
09661693,2008-09-04,85216,92569
09661693,2008-09-04,85216,93780
09662849,2008-10-29,65547,95660
09662849,2008-10-29,65547,66762
09665241,2008-01-30,60802,67389
09665241,2008-01-30,60802,92028
09669833,2008-03-21,75775,69583
09669833,2008-03-21,75775,83794
09669833,2008-03-21,75775,70306
09669833,2008-03-21,75775,91151
09669833,2008-03-21,75775,71534
09669833,2008-03-21,75775,NA
09670119,2008-04-18,68450,62033
09670119,2008-04-18,68450,98905
09670865,2008-05-29,97974,74747
09670865,2008-12-11,97974,74747
09670865,2008-05-29,97974,94120
09670865,2008-12-11,97974,94120
09670865,2008-05-29,97974,65231
09670865,2008-12-11,97974,65231
09671571,2008-11-28,75973,76536
09672154,2008-01-11,97974,96021
09672154,2008-07-09,97974,96021
09672154,2008-10-31,97974,96021
09672154,2008-01-11,97974,94753
09672154,2008-07-09,97974,94753
09672154,2008-10-31,97974,94753
09672204,2008-10-17,66685,NA
09672204,2008-10-17,66685,64243
09672204,2008-10-17,66685,89752
09672204,2008-10-17,66685,67090
09676727,2008-05-29,96663,60986
09676727,2008-05-29,96663,NA
09676727,2008-05-29,96663,66030
09676727,2008-05-29,96663,74063
09676727,2008-05-29,96663,64538
09678573,2008-04-07,75929,98108
09679320,2008-01-25,59397,62188
09679691,2008-07-09,84860,92464
09681585,2008-07-11,70581,59738
09681585,2008-07-11,70581,99004
09681585,2008-07-11,70581,96339
09681585,2008-07-11,70581,67256
09683599,2008-01-08,88496,88496
09683599,2008-01-08,88496,60487
09683902,2008-02-27,60802,74333
09683995,2008-07-08,95000,62242
09688006,2008-07-09,96663,60986
09688006,2008-07-09,96663,NA
09688006,2008-07-09,96663,74063
09688006,2008-07-09,96663,64538
09692350,2008-03-27,95938,67389
09692350,2008-03-27,95938,79585
09692350,2008-03-27,95938,70835
09694297,2008-03-12,90049,85057
09694297,2008-03-12,90049,69090
09695216,2008-09-02,63691,NA
09695402,2008-12-11,99654,98738
09700099,2008-09-08,60837,63938
09700099,2008-09-08,60837,98804
09703034,2008-06-12,84460,69002
09704054,2008-06-12,73364,72814
09704054,2008-06-12,73364,98081
09704384,2008-06-13,90049,76536
09704384,2008-06-13,90049,62242
09707410,2008-01-22,77656,83334
09708722,2008-06-12,75772,59052
09708722,2008-06-12,75772,77746
09709170,2008-12-11,94257,77869
09709170,2008-12-11,94257,62312
09709170,2008-12-11,94257,63244
09709234,2008-01-09,72573,68460
09709234,2008-12-17,72573,98738
09709234,2008-12-17,72573,90049
09709234,2008-07-16,72573,90049
09709234,2008-12-17,72573,79585
09709532,2008-12-30,59391,64520
09709532,2008-12-30,59391,60838
09710646,2008-05-05,95600,90049
09714351,2008-06-13,61417,82244
09714351,2008-06-13,61417,72004
09714351,2008-06-13,61417,83224
09715725,2008-06-13,70204,72882
09715725,2008-06-13,70204,94911
09717019,2008-08-01,72573,71487
09717262,2008-12-05,99654,98738
09717529,2008-05-01,99182,97943
09717529,2008-05-01,99182,NA
09717529,2008-05-01,99182,92201
09718355,2008-05-06,71120,65790
09718803,2008-03-26,59338,72882
09720537,2008-04-14,68425,62540
09722742,2008-12-12,60623,92464
09722742,2008-12-12,60623,81750
09725704,2008-03-19,65307,96510
09725704,2008-03-19,65307,78318
09727984,2008-11-03,66805,66400
09728073,2008-10-02,64473,89344
09728442,2008-03-14,97728,83961
09728442,2008-03-14,97728,77825
09728442,2008-03-14,97728,76549
09728442,2008-03-14,97728,90147
09729653,2008-01-24,61757,65024
09729653,2008-01-24,61757,72882
09729939,2008-07-24,NA,67979
09731115,2008-07-24,65660,77244
09731917,2008-03-05,93725,76419
09731917,2008-03-05,99330,76419
09731917,2008-06-06,94646,92569
09731917,2008-06-06,90730,92569
09731917,2008-06-06,94646,76419
09731917,2008-06-06,90730,76419
09733185,2008-02-25,65307,65231
09734952,2008-02-06,69604,71487
09735919,2008-06-12,68593,60333
09735919,2008-11-14,68593,60333
09736232,2008-01-24,96663,69002
09736232,2008-10-07,96663,69002
09736232,2008-01-24,96663,68227
09736232,2008-10-07,96663,68227
09736232,2008-01-24,96663,95442
09736232,2008-10-07,96663,95442
09736232,2008-01-24,96663,96224
09736232,2008-10-07,96663,96224
09736232,2008-01-24,96663,89457
09736232,2008-10-07,96663,89457
09736232,2008-10-07,96663,80823
09736232,2008-01-24,96663,60986
09736232,2008-10-07,96663,60986
09736232,2008-01-24,96663,NA
09736232,2008-10-07,96663,NA
09736232,2008-01-24,96663,92569
09736232,2008-10-07,96663,92569
09736232,2008-01-24,96663,74063
09736232,2008-10-07,96663,74063
09736232,2008-01-24,96663,64538
09736232,2008-10-07,96663,64538
09736298,2008-02-20,94230,66096
09737050,2008-04-10,97703,60579
09737050,2008-04-10,97703,94120
09738292,2008-11-12,88496,75919
09738801,2008-02-04,76260,74747
09738801,2008-02-04,76260,94120
09738852,2008-03-12,95938,67389
09738852,2008-03-12,95938,92569
09739317,2008-06-16,63657,75753
09739317,2008-06-16,63657,92028
09739317,2008-06-16,63657,87028
09739397,2008-01-02,65885,70835
09740221,2008-02-08,75973,76536
09740221,2008-09-30,75973,76536
09740221,2008-09-30,75973,62242
09740345,2008-04-30,62778,99217
09740528,2008-05-13,72573,98738
09740528,2008-05-13,72573,71487
09743653,2008-07-10,60128,69459
09746270,2008-08-05,96764,67389
09746270,2008-08-05,96764,92921
09747691,2008-04-08,97146,72086
09747698,2008-11-07,88496,92464
09748905,2008-10-17,NA,98092
09748905,2008-10-17,NA,65231
09748905,2008-10-17,NA,73703
09749106,2008-01-15,99952,78241
09749106,2008-01-15,99952,98437
09749826,2008-06-11,65307,74747
09750105,2008-07-21,74243,69922
09750105,2008-07-21,74243,65231
09750105,2008-07-21,65231,69922
09750105,2008-07-21,65231,65231
09751059,2008-09-05,90588,62480
09752464,2008-01-24,67189,71985
09753086,2008-07-03,95600,76536
09753086,2008-07-03,95600,62242
09753141,2008-09-17,82418,91853
09755002,2008-01-09,94270,99319
09755002,2008-01-09,94270,81337
09755002,2008-01-09,94270,66927
09755512,2008-10-28,60449,97961
09756120,2008-07-11,75973,76536
09756120,2008-12-26,75973,76536
09756120,2008-07-11,75973,62242
09758267,2008-12-04,62919,60897
09758267,2008-12-04,62919,98690
09758267,2008-12-04,62919,96691
09758267,2008-12-04,62919,80174
09758267,2008-12-04,62919,78036
09758267,2008-12-04,62919,98833
09758267,2008-12-04,62919,63639
09760039,2008-06-16,95726,91338
09760588,2008-05-28,92462,67256
09763338,2008-01-02,73722,59768
09763370,2008-09-17,NA,66266
09763370,2008-09-17,NA,97470
09764662,2008-08-28,90294,92028
09765246,2008-11-26,97974,65231
09766035,2008-06-20,67093,94385
09766035,2008-06-20,67093,NA
09766035,2008-06-20,67093,71943
09766035,2008-06-20,67093,98302
09766035,2008-06-20,67093,62095
09766133,2008-08-20,97974,78241
09766133,2008-08-20,97974,94120
09769392,2008-03-26,74039,62528
09770571,2008-01-02,96764,60716
09770769,2008-01-02,68425,62540
09770769,2008-01-02,68425,97703
09771054,2008-07-21,90588,82244
09771054,2008-07-21,90588,62480
09775170,2008-05-13,60501,67389
09778259,2008-11-20,60067,91747
09778259,2008-06-02,60067,71087
09778259,2008-11-20,60067,73722
09778259,2008-11-20,60067,81365
09778474,2008-11-17,73223,92569
09778474,2008-11-17,73223,71764
09778474,2008-11-17,73223,61485
09779779,2008-12-31,97974,94120
09779779,2008-12-31,97974,96021
09780035,2008-08-12,96963,72882
09781329,2008-03-28,83122,67389
09781680,2008-06-20,97974,66839
09781680,2008-06-20,97974,63823
09782187,2008-01-29,63962,92464
09782187,2008-01-29,63962,70835
09782850,2008-10-01,61477,78350
09782896,2008-07-09,97974,71229
09785518,2008-05-27,94270,99319
09785518,2008-05-27,94270,81337
09785518,2008-05-27,94270,66927
09786527,2008-10-28,60501,67389
09786527,2008-10-28,60501,98738
09788268,2008-11-20,72848,96339
09788268,2008-11-20,72848,67515
09788281,2008-06-12,94270,76378
09788281,2008-06-12,94270,67389
09788281,2008-06-12,94270,97655
09788329,2008-07-21,83122,67389
09788329,2008-07-21,83122,61969
09788526,2008-05-06,83122,NA
09801958,2008-08-27,60977,96653
09801958,2008-08-27,60977,65572
09801958,2008-08-27,60977,NA
09804074,2008-04-29,95938,67389
09804907,2008-01-23,69524,62242
09809029,2008-09-29,97910,65790
09809029,2008-09-29,97910,59738
09809029,2008-09-29,97910,99004
09809273,2008-04-01,76927,77184
09809273,2008-10-08,76927,77184
09809325,2008-04-21,66400,80643
09809325,2008-04-21,66400,63106
09809325,2008-04-21,66400,69502
09810625,2008-01-24,72573,74333
09812872,2008-06-30,65566,93567
09814182,2008-08-06,63962,92028
09814337,2008-02-28,66255,96254
09814337,2008-02-28,66255,98984
09814337,2008-11-05,66255,98984
09814607,2008-12-19,80410,98534
09814607,2008-12-19,80410,92028
09817300,2008-06-26,84860,92464
09817731,2008-02-07,71004,60897
09817731,2008-02-07,71004,98690
09817731,2008-02-07,71004,96691
09817731,2008-02-07,71004,80174
09817731,2008-02-07,71004,78036
09817731,2008-02-07,71004,98783
09818699,2008-01-25,96885,81442
09818699,2008-01-25,96885,NA
09820158,2008-12-11,59811,67581
09820158,2008-12-11,59811,70571
09820158,2008-12-11,59811,67256
09820158,2008-12-11,59811,64900
09820858,2008-08-25,90588,62480
09821190,2008-03-07,66685,67389
09821584,2008-11-20,92812,65586
09821584,2008-11-20,92812,60128
09821584,2008-11-20,92812,65617
09822300,2008-01-31,97590,87028
09822675,2008-11-25,91354,71487
09822686,2008-01-28,76621,84122
09822950,2008-06-30,71004,80643
09822950,2008-06-30,71004,63106
09822950,2008-06-30,71004,69502
09822950,2008-01-23,71004,68338
09822950,2008-06-30,71004,68338
09822950,2008-01-23,71004,63589
09823429,2008-03-17,60501,67389
09823508,2008-12-31,87031,96004
09823508,2008-12-31,87031,81731
09823835,2008-03-20,96764,67389
09824035,2008-09-04,79978,65231
09824367,2008-04-28,60501,67389
09824493,2008-03-27,85308,85057
09824493,2008-03-27,85308,69090
09824997,2008-07-28,61111,92464
09825423,2008-07-28,84356,98531
09825423,2008-07-28,84356,64050
09826118,2008-02-04,84460,71175
09826118,2008-02-04,84460,67426
09826157,2008-06-26,92812,73271
09826157,2008-06-26,92812,81876
09826157,2008-06-26,92812,94289
09826198,2008-09-16,74148,96021
09826198,2008-09-16,74148,94753
09827127,2008-06-13,94230,93380
09827127,2008-06-13,94230,97961
09827127,2008-09-30,94230,97961
09827332,2008-11-26,88077,87028
09828864,2008-08-19,78821,62919
09828864,2008-01-24,78821,95417
09828864,2008-08-19,78821,95417
09829516,2008-11-24,67705,93380
09829516,2008-11-24,67705,62721
09829937,2008-01-09,93735,85057
09829937,2008-01-09,93735,69090
09829937,2008-01-09,93735,92569
09830972,2008-04-24,93839,71946
09831274,2008-04-30,60501,67389
09831477,2008-03-24,74319,NA
09831954,2008-09-30,63388,67256
09833222,2008-12-22,74224,65024
09833222,2008-12-22,74224,94911
09834796,2008-09-24,69116,85308
09835537,2008-12-11,59811,72814
09835537,2008-12-11,59811,67581
09836397,2008-07-11,69116,62528
09836397,2008-07-11,69116,89752
09836584,2008-10-17,66400,99771
09836584,2008-10-17,66400,61679
09836584,2008-10-17,66400,71695
09837307,2008-01-17,60280,93804
09837505,2008-11-25,75973,76536
09837844,2008-04-03,97974,94120
09837844,2008-11-25,97974,94120
09837844,2008-04-03,97974,61386
09837844,2008-11-25,97974,61386
09837844,2008-04-03,97974,65231
09837844,2008-11-25,97974,65231
09837844,2008-04-03,97974,66839
09837844,2008-11-25,97974,66839
09837844,2008-04-03,97974,63823
09837844,2008-11-25,97974,63823
09837844,2008-04-03,97974,73703
09837844,2008-11-25,97974,73703
09838436,2008-02-11,84516,76536
09838436,2008-02-11,84516,62242
09839433,2008-05-21,91688,71059
09839433,2008-11-04,91688,71059
09839509,2008-12-16,62919,60897
09839509,2008-12-16,62919,98690
09839509,2008-12-16,62919,96691
09839509,2008-12-16,62919,80174
09839509,2008-12-16,62919,78036
09839509,2008-12-16,62919,95417
09839509,2008-12-16,62919,63639
09840923,2008-01-03,67078,75969
09841266,2008-05-13,98690,80254
09842082,2008-05-29,97974,65231
09842082,2008-12-11,97974,65231
09842127,2008-06-13,99122,83845
09842127,2008-06-13,99122,68231
09842127,2008-06-13,99122,83313
09842127,2008-06-13,99122,92028
09845571,2008-06-27,NA,72381
09845571,2008-12-12,NA,72381
09845606,2008-12-08,91791,72089
09845839,2008-01-11,60130,97202
09845839,2008-01-11,60130,96465
09846521,2008-01-25,64660,76536
09846907,2008-02-12,73722,66805
09846991,2008-11-17,94270,76378
09846991,2008-11-17,94270,97655
09848713,2008-07-23,65867,87917
09848713,2008-07-23,65867,62242
09848987,2008-10-24,65566,77825
09848987,2008-10-24,65566,62528
09849969,2008-04-16,96963,67657
09850384,2008-07-07,90049,67389
09850384,2008-09-15,90049,67389
09851363,2008-01-08,60501,67389
09851674,2008-08-11,59407,98182
09851674,2008-03-13,59407,96339
09851674,2008-08-11,59407,96339
09851674,2008-03-13,59407,67515
09851674,2008-08-11,59407,67515
09852229,2008-05-29,79978,73703
09852979,2008-07-29,90049,74333
09854356,2008-01-08,87897,69583
09854356,2008-01-08,87897,72882
09855584,2008-03-11,60094,74333
09857204,2008-04-09,72332,69402
09857204,2008-04-09,72332,96125
09857491,2008-01-30,87666,60579
09857491,2008-01-30,87666,74747
09857491,2008-01-30,87666,92569
09862410,2008-03-26,96764,67389
09862410,2008-03-26,96764,91853
09862410,2008-03-26,96764,NA
09863318,2008-05-01,67570,94559
09864456,2008-09-15,99027,NA
09864456,2008-09-15,99027,85786
09864608,2008-03-18,73119,91338
09864608,2008-03-18,73119,65885
09866259,2008-09-08,63007,74759
09866680,2008-10-02,65566,93567
09866680,2008-10-02,65566,62528
09867797,2008-05-28,73119,64243
09868151,2008-04-02,65586,81442
09868277,2008-04-30,65566,93567
09868277,2008-04-30,65566,62528
09868569,2008-04-30,75775,69583
